开始时间,结束时间,字幕内容,字幕颜色
0:00:00.000,0:00:05.020,Translation: Melts Timing: zhufree,
0:00:05.020,0:00:15.450,Afternoon – Indoors – Nangong Jingnu and Qi Yan are reading while a maid brews tea,
0:00:45.370,0:00:46.970,Nangong Jingnu: (Yawn),#FF7D40
0:00:48.850,0:00:50.320,Qi Yan: Are you tired, Your Highness?,#A9A0FF
0:00:51.170,0:00:55.020,Nangong Jingnu: I’m not, I just feel drowsy after reading for so long.,#FF7D40
0:00:55.020,0:00:59.420,[Does a stretch],#FF7D40
0:00:59.420,0:01:04.220,Er-jie said that she’s coming over for dinner today. What time is it now?,#FF7D40
0:01:04.220,0:01:06.200,Qi Yan: There’s still two hours before dinner.,#A9A0FF
0:01:07.500,0:01:12.250,If you feel drowsy, Your Highness, you could nap for a while.,#A9A0FF
0:01:12.250,0:01:16.420,Nangong Jingnu: Mm… Sure. I’ll just nap for a short while.,#FF7D40
0:01:16.420,0:01:18.800,Too long and I’ll wake up with a headache.,#FF7D40
0:01:18.800,0:01:21.200,Qi Yan: [Flips a page] All right.,#A9A0FF
0:01:21.200,0:01:26.320,[Stands and walks to the couch],
0:01:29.920,0:01:35.550,[Nangong Jingnu falls asleep],
0:01:36.370,0:01:40.750,[Qi Yan continues to read],
0:04:15.500,0:04:18.900,[Qi Yan walks up to the couch and wakes Nangong Jingnu],
0:04:18.900,0:04:22.000,Qi Yan: [Pats Jingnu gently] Your Highness? Your Highness?,#A9A0FF
0:04:22.000,0:04:27.420,Nangong Jingnu: [Sits up] Mm… How long was I asleep?,#FF7D40
0:04:27.420,0:04:31.900,Qi Yan: Half an hour. The Zhuohua Highness should be arriving soon.,#A9A0FF
0:04:34.070,0:04:37.000,Nangong Jingnu: Mm! Let’s go.,#FF7D40
0:04:37.000,0:04:40.400,We can have a stroll around the courtyard while waiting for er-jie!,#FF7D40
0:04:40.400,0:04:41.550,[Nangong Jingnu gets up and pulls Qi Yan to the door],
0:04:41.550,0:04:42.900,Qi Yan: Hey…,#A9A0FF
0:04:42.900,0:04:47.870,[They leave the room and close the door],
