开始时间,结束时间,字幕内容,字幕颜色
0:00:05.00,0:00:10.00,Translator: Melts,
0:00:10.00,0:00:14.97,Timing: zhufree,
0:00:15.87,0:00:19.85,[Grass plains, memory],
0:00:25.87,0:00:26.70,Buqin: Reporting Khagan,,
0:00:27.27,0:00:29.72,Tuba tribe’s Khan, Nagsi Erile, is here.,
0:00:30.00,0:00:30.65,Sukhbarun: Let him enter!,
0:00:31.05,0:00:32.47,Furong: What is he doing here?,
0:00:32.75,0:00:33.80,Sukhbarun: Anyone who comes is a guest,,
0:00:34.35,0:00:38.97,Besides, the Tuba tribe no longer has the power to contend against us.,
0:00:39.50,0:00:40.75,Don’t worry, mei-zi.,
0:00:44.55,0:00:46.97,Erile: Hahaha~,
0:00:47.95,0:00:54.95,I’ve heard that you have a son who is blessed with the divine gift of horse taming,,
0:00:55.30,0:00:57.15,and he apparently has great skill in horseback archery as well.,
0:00:57.75,0:01:01.37,Your Chengli tribe will be under good hands in the future!,
0:01:01.87,0:01:06.50,Sukhbarun: Hahahaha, uncle Erile is quite well-informed.,
0:01:07.02,0:01:11.42,Here, this that horse-whisperer son of mine, Aguna!,
0:01:11.75,0:01:13.85,And this is my youngest daughter, Nomin.,
0:01:14.12,0:01:15.15,Her baby name is Xiao-Die.,
0:01:15.65,0:01:18.27,Qi Yan: Aguna greets Erihe Khan.,#A9A0FF
0:01:18.65,0:01:20.40,Xiao-Die: Hello Khan.,
0:01:23.00,0:01:27.20,Erile: And here I thought that this child would be more like you…,
0:01:29.00,0:01:31.25,This is my youngest daughter Jiya.,
0:01:31.65,0:01:34.52,She was born when I was forty-nine,,
0:01:34.90,0:01:37.22,the shining pearl of my heart.,
0:01:37.72,0:01:38.95,This time…,
0:01:38.95,0:01:46.32,I plan to entrust Jiya to the care of Sukhbaru Khan in the Chengli tribe.,
0:01:48.55,0:01:50.45,Sukhbarun: Since she is so precious to you,,
0:01:50.90,0:01:53.05,uncle, you should keep her by your side.,
0:01:53.35,0:01:54.90,Why leave her here with me?,
0:01:55.25,0:01:56.72,Erile: Hahaha~,
0:01:57.52,0:02:00.30,Aguna and Jiya are the same age,,
0:02:00.80,0:02:04.10,I will let Jiya live here with you for a few years.,
0:02:04.60,0:02:07.05,Once Aguna is over thirteen,,
0:02:07.32,0:02:09.05,he can marry Jiya!,
0:02:09.82,0:02:13.52,I have also brought a thousand fat sheep,,
0:02:13.95,0:02:15.77,five hundred strong cattle,,
0:02:16.05,0:02:17.82,a hundred fine horses,,
0:02:17.82,0:02:22.52,and a hundred complete animal skins as Jiya’s dowry.,
0:02:23.20,0:02:25.15,I just hope that the Khagan…,
0:02:25.60,0:02:28.50,will spare us a few plots of fertile pastures,,
0:02:28.67,0:02:31.22,where my people may live.,
0:02:31.60,0:02:32.91,Our families…,
0:02:33.26,0:02:36.10,will no longer be at odds!,
0:02:40.45,0:02:50.42,[An arrow pierces through the sky, weapons clash, Buqin arrives on a horse],
0:02:57.90,0:02:58.95,Buqin: Khagan!,
0:02:59.32,0:03:00.20,The Tuba tribe!,
0:03:00.20,0:03:01.55,The Tuba tribe has turned against us!,
0:03:01.55,0:03:03.95,Erile has betrayed the Jing kingdom!,
0:03:10.10,0:03:12.40,Messenger: Victory in the northern nine provinces!,
0:03:12.40,0:03:14.35,Our great army has complete victory,,
0:03:14.35,0:03:16.42,reclaiming the Qing and Yi provinces!,
0:03:16.42,0:03:19.10,Victory in the northern nine provinces!,
0:03:19.10,0:03:21.25,The great army will return to the court soon!,
0:03:21.25,0:03:23.95,Victory in the northern nine provinces!,
0:03:25.72,0:03:27.45,Qi Yan: **The rebellion was defeated after all.**,#A9A0FF
0:03:28.40,0:03:29.95,**Baying’s whereabouts are unknown.**,#A9A0FF
0:03:30.40,0:03:33.35,**Similar to the War of Jing Wei over a decade ago,**,#A9A0FF
0:03:34.50,0:03:38.90,**the brave warriors of the Jing kingdom were defeated under the iron hooves of the Wei kingdom.**,#A9A0FF
0:03:39.95,0:03:41.05,**But unlike that battle…**,#A9A0FF
0:03:42.20,0:03:43.20,**by the end of this…**,#A9A0FF
0:03:43.95,0:03:45.42,**there are practically no prisoners of war.**,#A9A0FF
0:03:47.10,0:03:49.10,**Now, the remaining population of the Jing kingdom…**,#A9A0FF
0:03:50.05,0:03:51.82,**probably only leaves the Tuba tribe,**,#A9A0FF
0:03:52.10,0:03:55.47,**who once betrayed the grass plains.**,#A9A0FF
0:03:59.65,0:04:03.00,Qi Yan: Adapted from Jinjiang Literature City’s ‘Clear and Muddy Loss of Love’,,#A9A0FF
0:04:03.45,0:04:04.97,an original work by Please Don’t Laugh,,#A9A0FF
0:04:05.22,0:04:06.80,produced by Yinhang Media,,#A9A0FF
0:04:07.30,0:04:09.55,broadcasting exclusively on Maoer FM,,#A9A0FF
0:04:09.95,0:04:12.40,‘Two Adamant Hearts’ audio drama,#A9A0FF
0:04:12.80,0:04:13.75,season one,,#A9A0FF
0:04:14.02,0:04:14.82,episode twelve,,#A9A0FF
0:04:15.65,0:04:16.77,please enjoy.,#A9A0FF
0:04:31.07,0:04:36.00,[Inside the Chionghua Princess estate],
0:04:40.28,0:04:42.92,Nangong Sunu: Brother-in-law has a wealth of knowledge from studying after all.,
0:04:43.34,0:04:44.68,You two have been married for so long,,
0:04:44.84,0:04:46.97,why don’t you learn more from brother-in-law?,
0:04:47.44,0:04:48.58,Making a fool of yourself like this.,
0:04:49.26,0:04:50.91,Don’t you agree, brother-in-law?,
0:04:52.45,0:04:53.91,Qi Yan: Her Highness is most sincere and pure.,#A9A0FF
0:04:53.97,0:04:54.88,She has noble character and unquestionable integrity.,#A9A0FF
0:04:55.37,0:04:57.20,No amount of studying could teach one such things.,#A9A0FF
0:04:57.64,0:04:58.29,Nangong Sunu: Tsk tsk tsk.,
0:04:58.88,0:05:02.10,Hear that, educated people just speak different.,
0:05:05.86,0:05:07.70,Nangong Jingnu: Little Fu-er is so adorable,,#FF7D40
0:05:08.82,0:05:11.76,so pink and tender, so little.,#FF7D40
0:05:14.27,0:05:16.63,Nangong Sunu: You were this little when you were a baby too,,
0:05:16.63,0:05:17.70,pink and tender.,
0:05:18.88,0:05:19.69,And in the blink of an eye,,
0:05:19.69,0:05:21.56,you’re already a married woman.,
0:05:22.79,0:05:25.51,Nangong Shunu: The Zhenbei General estate has a successor now.,
0:05:26.02,0:05:27.62,The news of victory in the northern nine provinces reached the palace,
0:05:27.84,0:05:30.38,on the date of little Fu-er’s birth as well.,
0:05:30.79,0:05:32.61,Even the soothsaying division said that,
0:05:32.61,0:05:36.18,this child came to this world carrying great fortune.,
0:05:37.91,0:05:38.82,Nangong Jingnu: That’s right!,#FF7D40
0:05:38.96,0:05:41.84,I hope little Fu-er grows up to be a filial child,,#FF7D40
0:05:42.12,0:05:43.67,so da-jie’s suffering isn’t for naught.,#FF7D40
0:05:43.71,0:05:45.53,It took almost twelve hours to deliver him!,#FF7D40
0:05:46.69,0:05:49.65,Nangong Sunu: I just hope that he can grow up safe and well.,
0:05:50.04,0:05:53.06,I’ll be happy if he can become a good man who can face the world with a clear conscience.,
0:05:53.75,0:05:55.58,If he truly has the ability to become a General,
0:05:55.58,0:05:58.86,who keeps the people safe like his dad,,
0:05:59.24,0:06:00.95,that will be up to him.,
0:06:02.41,0:06:04.07,Nangong Shunu: Da-jie is right.,
0:06:05.35,0:06:07.50,Nangong Jingnu: Little Fu-er, little Fu-er.,#FF7D40
0:06:12.25,0:06:13.73,Nangong Sunu: Since you like children so much,,
0:06:13.75,0:06:15.61,why don’t you hurry up and have one?,
0:06:15.84,0:06:18.29,How can the children of others beat your very own?,
0:06:18.78,0:06:19.89,Nangong Jingnu: Da-jie!,#FF7D40
0:06:20.44,0:06:21.50,Nangong Sunu: What?,
0:06:21.76,0:06:23.56,You and brother-in-law have been married for so long,,
0:06:23.65,0:06:25.03,I should be hearing good news by now!,
0:06:25.76,0:06:26.63,Nangong Jingnu: Aiya!,#FF7D40
0:06:26.81,0:06:29.31,Er-jie, look at da-jie!,#FF7D40
0:06:29.41,0:06:30.81,Nangong Sunu: Hahaha.,
0:06:31.27,0:06:32.02,Nangong Shunu: Da-jie,,
0:06:32.47,0:06:34.17,little Fu-er looks hungry,,
0:06:34.42,0:06:35.78,let the wet nurse take him.,
0:06:37.07,0:06:38.41,Nangong Sunu: Take Fu-er with you.,
0:06:38.41,0:06:39.14,Wet nurse: Understood.,
0:06:44.50,0:06:45.39,Nangong Sunu: Brother-in-law,,
0:06:45.67,0:06:47.22,the palace is a place of many rules,,
0:06:47.36,0:06:49.45,you had to put up with sitting outside the curtain for so long,,
0:06:49.67,0:06:50.62,I’m sorry for that.,
0:06:51.88,0:06:52.59,Qi Yan: It’s no problem.,#A9A0FF
0:06:53.63,0:06:54.50,Nangong Jingnu: Da-jie,,#FF7D40
0:06:54.96,0:06:58.01,I heard that… a lot of people died this time?,#FF7D40
0:06:58.66,0:06:59.39,Nangong Shunu: Jingnu!,
0:06:59.85,0:07:00.83,It’s a wonderful day today,,
0:07:01.03,0:07:02.61,why bring up such horrid topics?,
0:07:03.00,0:07:05.03,Nangong Sunu: Ai, it’s no big deal.,
0:07:05.25,0:07:07.74,There’s nothing I haven’t seen before during my time at the You province,,
0:07:07.87,0:07:08.82,there’s no need to shy away from such things.,
0:07:09.87,0:07:11.03,Nangong Sunu: I heard,,
0:07:11.03,0:07:13.59,that there were so many bodies in the northern nine provinces that they formed hills.,
0:07:14.27,0:07:15.31,The weather is getting warm.,
0:07:15.65,0:07:18.31,My husband had to fight a war with the tribal slaves,
0:07:18.31,0:07:20.62,while managing the burial of the common folks.,
0:07:21.19,0:07:23.85,Later on, Emperor Father decreed for the purging of the tribal slaves.,
0:07:24.38,0:07:26.02,Who knows how many more people died after that.,
0:07:27.09,0:07:29.29,But those slaves weren’t as lucky,,
0:07:29.43,0:07:31.68,they were simply piled together and burned in a fire.,
0:07:33.54,0:07:37.64,Have you heard who Emperor Father sent to manage the clean-up of the northern nine provinces?,
0:07:38.41,0:07:39.31,Nangong Jingnu: I don’t know,,#FF7D40
0:07:39.55,0:07:42.33,I’ve always had no interest towards matters of the court.,#FF7D40
0:07:43.22,0:07:44.62,Nangong Shunu: I heard that,,
0:07:44.62,0:07:46.83,er-ge seems to have volunteered himself…,
0:07:47.84,0:07:49.39,Qi Yan: **A bloodbath in the Jing kingdom,**,#A9A0FF
0:07:49.59,0:07:51.05,**countless lives lost,**,#A9A0FF
0:07:52.02,0:07:56.34,**treated as bedroom gossip for the three daughters of the Nangong family!**,#A9A0FF
0:07:57.93,0:07:59.02,**This debt,**,#A9A0FF
0:07:59.63,0:08:02.39,**I will have it paid sooner or later!**,#A9A0FF
0:08:06.08,0:08:07.32,Qi Yan: Asking for forgiveness from the three Highnesses.,#A9A0FF
0:08:07.91,0:08:09.24,As a mere outsider,,#A9A0FF
0:08:09.49,0:08:10.75,Qi Yan dares not to eavesdrop on political discussions!,#A9A0FF
0:08:11.72,0:08:12.29,Qi Yan: Goodbye.,#A9A0FF
0:08:12.71,0:08:13.89,Nangong Sunu: Goodness…,
0:08:15.03,0:08:17.32,Jingnu, what does brother-in-law mean by this?,
0:08:18.94,0:08:20.34,Nangong Jingnu: Da-jie, don’t be angry,,#FF7D40
0:08:20.73,0:08:23.30,this… isn’t Qi Yan’s fault.,#FF7D40
0:08:23.71,0:08:24.94,Sometime ago,,#FF7D40
