开始时间,结束时间,字幕内容,字幕颜色
0:00:05.02,0:00:08.92,Translator: Melts,
0:00:08.92,0:00:11.78,Timing: zhufree,
0:00:12.22,0:00:15.30,[Eldest Prince’s estate],
0:00:15.30,0:00:18.10,Eldest Prince: Ah… Agh!,
0:00:19.07,0:00:20.32,Lady Zhao: Your Highness,,
0:00:20.80,0:00:21.70,Your Highness!,
0:00:21.70,0:00:23.27,What’s wrong, Your Highness?,
0:00:23.97,0:00:24.67,Lady Zhao: Ah!,
0:00:24.67,0:00:25.82,Lady Zhao: Someone, quick,,
0:00:25.82,0:00:27.47,bring the physician here!,
0:00:33.85,0:00:37.35,Qi Yan: Adapted from Jinjiang Literature City’s ‘Clear and Muddy Loss of Love’,,#A9A0FF
0:00:37.62,0:00:39.25,an original work by Please Don’t Laugh,#A9A0FF
0:00:39.62,0:00:41.17,Nangong Jingnu: Produced by Yinhang Media,,#FF7D40
0:00:41.42,0:00:43.50,broadcasting exclusively on Maoer FM,#FF7D40
0:00:43.97,0:00:46.50,Qi Yan/Nangong Jingnu: ‘Two Adamant Hearts’ audio drama,#A9A0FF
0:00:46.82,0:00:49.05,season one, episode fourteen,,#A9A0FF
0:00:49.65,0:00:50.70,please enjoy.,#A9A0FF
0:00:59.92,0:01:02.12,[Princess estate],
0:01:03.08,0:01:04.11,Qiuju: Your Highness!,
0:01:04.11,0:01:05.58,Your Highness, this is bad,,
0:01:05.73,0:01:07.03,His Majesty is summoning you to the palace urgently,,
0:01:07.03,0:01:08.41,this maid will help you change now.,
0:01:08.88,0:01:10.54,Nangong Jingnu: Why are you in such a panic?,#FF7D40
0:01:11.14,0:01:12.25,Nangong Jingnu: What happened?,#FF7D40
0:01:13.01,0:01:16.39,Qiuju: This maid boldly asked the gonggong who came to deliver the decree,,
0:01:16.39,0:01:17.50,it seems that…,
0:01:17.86,0:01:19.47,His Highness the Eldest Prince has passed away.,
0:01:19.57,0:01:20.26,Nangong Jingnu: Huh?!,#FF7D40
0:01:20.26,0:01:22.24,Qiuju: The Eldest Prince’s mother, Zhaorong Li,,
0:01:22.24,0:01:23.35,has passed away as well.,
0:01:24.50,0:01:25.91,Nangong Jingnu: Big royal brother?,#FF7D40
0:01:26.15,0:01:27.11,How could this happen,,#FF7D40
