开始时间,结束时间,字幕内容,字幕颜色
0:00:02.65,0:00:05.35,Translator: Melts,
0:00:05.35,0:00:08.07,Timing: zhufree,
0:00:09.50,0:00:13.50,[Inside Weiyang Palace],
0:00:21.17,0:00:22.12,Qi Yan: Your Highness…,#A9A0FF
0:00:24.90,0:00:25.87,Qi Yan: Your Highness,,#A9A0FF
0:00:26.15,0:00:27.57,let this subject take a look at your hand.,#A9A0FF
0:00:31.92,0:00:33.87,Qi Yan: If this is left untreated,,#A9A0FF
0:00:33.87,0:00:36.40,it will become a bruise overnight.,#A9A0FF
0:00:36.40,0:00:37.90,That will hurt for many days more.,#A9A0FF
0:00:48.27,0:00:49.87,Qi Yan: Bear with it for just a moment, Your Highness.,#A9A0FF
0:00:49.87,0:00:51.02,It’ll be alright once it is kneaded out.,#A9A0FF
0:00:52.45,0:00:53.20,Nangong Jingnu: Mm.,#FF7D40
0:00:55.32,0:00:57.00,Nangong Jingnu: Tss, ow…,#FF7D40
0:00:57.00,0:00:58.06,Qi Yan: Hold on just a bit more, Your Highness.,#A9A0FF
0:01:05.42,0:01:06.10,Nangong Jingnu: You…,#FF7D40
0:01:07.65,0:01:08.95,Qi Yan: Your Highness isn’t mad anymore.,#A9A0FF
0:01:10.07,0:01:11.92,Nangong Jingnu: Who said I was mad.,#FF7D40
0:01:11.92,0:01:12.80,Qi Yan: Your Highness.,#A9A0FF
0:01:13.25,0:01:16.30,No matter what, this subject does not wish for you to ever suffer mistreatment.,#A9A0FF
0:01:17.42,0:01:18.97,Though this subject’s meager status give such words little weight,,#A9A0FF
0:01:19.50,0:01:21.70,this subject will still spare no efforts to protect Your Highness.,#A9A0FF
0:01:24.62,0:01:25.70,Nangong Jingnu: I know.,#FF7D40
0:01:28.05,0:01:29.05,Nangong Jingnu: Qi Yan,,#FF7D40
0:01:29.47,0:01:31.07,I want to return to the estate.,#FF7D40
0:01:34.42,0:01:36.50,Qi Yan: Will Your Highness play a game with this subject?,#A9A0FF
0:01:37.05,0:01:38.17,Nangong Jingnu: What game?,#FF7D40
0:01:40.07,0:01:42.05,Qi Yan: From now on, whenever Your Highness wins against this subject in a game of chess,,#A9A0FF
0:01:42.35,0:01:44.07,this subject will promise you one thing.,#A9A0FF
0:01:44.32,0:01:45.55,Nangong Jingnu: Anything?,#FF7D40
0:01:45.87,0:01:47.60,Qi Yan: Anything that does not go against the way of gentlemen.,#A9A0FF
0:01:48.65,0:01:52.72,Um, this subject can’t be made to die either.,#A9A0FF
0:01:53.30,0:01:55.77,Nangong Jingnu: Who would make you do something like that?,#FF7D40
0:01:55.77,0:01:56.80,You really do fear death!,#FF7D40
0:02:00.17,0:02:02.40,Nangong Jingnu: Leaving the estate in disguise, is that fine?,#FF7D40
0:02:02.65,0:02:04.20,Qi Yan: Mm, naturally.,#A9A0FF
0:02:05.00,0:02:07.47,Nangong Jingnu: Hmph, crafty fox!,#FF7D40
0:02:08.35,0:02:09.95,Qi Yan: What makes you say that, Your Highness?,#A9A0FF
0:02:10.42,0:02:12.57,Nangong Jingnu: You’re clearly aware that I’m not good at…,#FF7D40
0:02:12.57,0:02:14.25,ahem, that I’m an amateur in chess.,#FF7D40
0:02:14.87,0:02:16.72,You’re just trying to fool me with empty words!,#FF7D40
0:02:17.72,0:02:19.40,Qi Yan: Then…,#A9A0FF
0:02:19.77,0:02:22.40,this subject will let Your Highness put two stones first, is that alright?,#A9A0FF
0:02:22.75,0:02:23.65,Nangong Jingnu: Hmph.,#FF7D40
0:02:24.65,0:02:27.47,Qi Yan: What about… three stones?,#A9A0FF
0:02:31.77,0:02:34.22,Qi Yan: Well then… four stones,,#A9A0FF
0:02:34.22,0:02:35.72,that really is the limit.,#A9A0FF
0:02:36.50,0:02:38.20,Your Highness is so intelligent,,#A9A0FF
0:02:38.20,0:02:40.70,any more would be unfair!,#A9A0FF
0:02:41.72,0:02:42.65,Nangong Jingnu: Alright!,#FF7D40
0:02:43.25,0:02:44.17,A clap to seal the deal!,#FF7D40
0:02:46.12,0:02:47.30,Nangong Jingnu: It’s a promise, then.,#FF7D40
0:02:47.57,0:02:49.35,Whenever I win from now on,,#FF7D40
0:02:49.35,0:02:50.97,you have to accompany me out of the estate,,#FF7D40
0:02:50.97,0:02:53.82,and you can’t tell Emperor Father about it!,#FF7D40
0:02:55.22,0:02:56.55,Qi Yan: Alright~,#A9A0FF
