开始时间,结束时间,字幕内容,字幕颜色
0:00:09.40,0:00:10.87,Timur: We’ve been spotted by Wei kingdom thieves!,
0:00:11.22,0:00:12.63,Qi Yan: Uncle Timur, let’s charge—,#A9A0FF
0:00:12.63,0:00:15.41,Buqin: Timur, take half of our people and escort the Princess to the north,,
0:00:15.41,0:00:18.35, the rest will continue to escort the Prince south with me.,
0:00:19.17,0:00:20.25,Buqin: We’re splitting up!,
0:00:20.25,0:00:22.22,Even if no one survives,,
0:00:22.22,0:00:24.70,we must keep the last of the great Khan’s bloodline safe!,
0:00:24.70,0:00:25.60,Got it?,
0:00:25.60,0:00:26.37,Timur: Understood!,
0:00:27.07,0:00:29.77,Xiao-Die: Gege, I don’t want to part with you!,
0:00:30.45,0:00:33.17,Xiao-Die: Gege, Gege!,
0:00:38.02,0:00:39.65,Qi Yan: Xiao-Die!,#A9A0FF
0:00:41.92,0:00:44.25,[Qi Yan's dream],
0:00:44.65,0:00:48.40,Qi Yan: Xiao-Die, Xiao-Die—,#A9A0FF
0:00:48.97,0:00:49.92,Qi Yan: I want to take revenge!,#A9A0FF
0:00:50.75,0:00:52.20,The masked person: What revenge do you seek?,
0:00:51.52,0:00:52.45,Qi Yan: Xiao-Die!,#A9A0FF
0:00:52.70,0:00:53.92,Qi Yan: For the murder of my family!,#A9A0FF
0:00:53.92,0:00:55.40,The masked person: Wrong!,
0:00:56.25,0:00:58.87,Your family was killed by the Nangong imperial family,,
0:00:59.55,0:01:01.00,the revenge you seek is for the destruction of your kingdom,
0:01:01.00,0:01:02.25,and the genocide of your people!,
0:01:03.35,0:01:05.17,The masked person: The land where the corpses of your parents lay exposed,
0:01:05.17,0:01:06.60,is covered with livestock dung.,
0:01:06.60,0:01:07.82,They have died with their eyes open.,
0:01:08.67,0:01:10.52,Do you not wish for the Nangong imperial family,,
0:01:10.52,0:01:11.95,and even the entire kingdom,,
0:01:12.90,0:01:14.20,to pay with their blood?,
0:01:15.42,0:01:16.50,Qi Yan: I do!,#A9A0FF
0:01:17.52,0:01:19.35,The masked person: Then you must remember these six words—,
0:01:20.95,0:01:23.57,bear with it, wait for it.,
0:01:25.45,0:01:27.85,Qi Yan: Yes. I will definitely—,#A9A0FF
0:01:27.85,0:01:28.80,Qi Yan: I will definitely…,#A9A0FF
0:01:29.17,0:01:31.32,sow discord in the false court,,#A9A0FF
0:01:31.67,0:01:32.97,turn brother against brother,,#A9A0FF
0:01:33.65,0:01:35.47,father against son, and son against father.,#A9A0FF
0:01:36.37,0:01:38.85,Their death wrought by their own hands will be revenge for the destruction of my kingdom and the genocide of my people!,#A9A0FF
0:01:44.37,0:01:47.52,Ding You: Aguna, all medicine has their side-effects.,
0:01:47.97,0:01:50.05,You have to at least leave a way out for yourself!,
0:01:50.87,0:01:52.30,Otherwise, once you’ve got your revenge,,
0:01:52.30,0:01:54.80,you’ll end up as someone neither living or dead,,
0:01:55.10,0:01:57.55,and then it’ll be too late for regrets!,
0:01:58.92,0:02:01.02,Qi Yan: I have never thought about getting out of this in one piece,,#A9A0FF
0:02:01.67,0:02:02.80,so what regret is there to speak of?,#A9A0FF
0:02:03.70,0:02:04.90,Ding You: Aguna!,
0:02:05.47,0:02:06.67,Qi Yan: I forgot to tell you,,#A9A0FF
0:02:07.57,0:02:11.30,Qiyan Aguna no longer exists in this world.,#A9A0FF
0:02:12.57,0:02:16.30,Call me— Qi Yan!,#A9A0FF
0:02:20.77,0:02:23.75,Qi Yan: Ding You, as you know,,#A9A0FF
0:02:24.42,0:02:25.90,I have an unusual eye color,,#A9A0FF
0:02:26.55,0:02:28.47,so I had to falsely claim that it is night-blindness…,#A9A0FF
0:02:29.60,0:02:32.17,I will do anything in order to become an official,#A9A0FF
0:02:32.17,0:02:33.90,and sow discord in the court.,#A9A0FF
0:02:36.12,0:02:42.27,How can someone who cannot see at night gaze upon the starry sky?,#A9A0FF
0:02:55.90,0:02:59.32,Nangong Rang: Hurry, hurry up and keep that beast away from me,,
0:02:59.32,0:03:00.65,escort, escort…!,
0:03:00.65,0:03:04.43,Nangong Rang: That beast has amber eyes!,
0:03:01.95,0:03:04.40,Guo Qingliu: This subject will boldly offer a prediction…,
0:03:04.95,0:03:10.22,A remarkable talent for the ages will appear in this year’s palace exam.,
0:03:10.22,0:03:16.15,Nangong Rang: Qi Yan? …He is the one with the amber eyes?,
0:03:18.75,0:03:22.47,Nangong Rang: Flower Seeker Qi Yan of the Jin province.,
0:03:22.47,0:03:24.05,Although one of modest background,,
0:03:24.05,0:03:25.92,you are excellent in both character and learning;,
0:03:25.92,0:03:27.62,talented and attractive.,
0:03:28.35,0:03:31.02,I have a beloved lawful daughter,,
0:03:31.05,0:03:34.05,the Zhenzhen Princess, of fourteen years,,
0:03:34.72,0:03:39.52,I have decided to have the Zhenzhen Princess married to you.,
0:03:40.95,0:03:42.12,Qi Yan: The Zhenzhen Princess?!,#A9A0FF
0:03:45.37,0:03:46.67,Thank you, Your Majesty.,#A9A0FF
0:03:49.45,0:03:51.37,Nangong Jingnu: That person has very special eyes!,#9AB8FF
0:03:51.37,0:03:54.45,It’s the color of amber! I’ve never seen that before!,#9AB8FF
0:03:52.35,0:03:56.17,Nangong Jingnu: Could Qi Yan be the Hermit Shepherd?,#9AB8FF
0:03:58.52,0:03:59.70,Nangong Jingnu: Adapted from,#9AB8FF
0:03:59.70,0:04:01.07,Qi Yan: Jinjiang Literature City’s,#A9A0FF
0:04:01.07,0:04:03.30,Nangong Jingnu: original work by Please Don’t Laugh,#9AB8FF
0:04:03.30,0:04:04.97,Qi Yan: ‘Clear and Muddy Loss of Love’,#A9A0FF
0:04:05.52,0:04:07.35,Nangong Jingnu: Produced by Yinhang Media,,#9AB8FF
0:04:07.35,0:04:10.55,broadcasting exclusively on Maoer FM,#9AB8FF
0:04:10.55,0:04:14.97,Together: The first season of ‘Two Adamant Hearts’ audio drama,
0:04:14.97,0:04:18.40,is coming soon, stay tuned.,
0:04:32.02,0:04:37.72,Street food seller: Selling candied haw, candied haw, candied haw…,
0:04:39.50,0:04:43.12,Nangong Jingnu: Qi Yan, I want to ask you something,,#9AB8FF
0:04:43.12,0:04:46.15,you can’t get mad or think too much about it.,#9AB8FF
0:04:46.15,0:04:47.82,Qi Yan: Mm, alright.,#A9A0FF
0:04:49.60,0:04:54.55,Nangong Jingnu: What do things look like for you during the night?,#9AB8FF
0:04:55.55,0:04:58.47,Qi Yan: Luminous things are somewhat distinguishable,,#A9A0FF
0:04:59.42,0:05:02.37,but anything else appears vague and indistinct,,#A9A0FF
0:05:03.00,0:05:05.65,as if covered by a black cloth.,#A9A0FF
0:05:06.87,0:05:10.50,Nangong Jingnu: Then, can you see those river lamps clearly?,#9AB8FF
0:05:10.50,0:05:13.30,Qi Yan: Mm. At such a distance, naturally.,#A9A0FF
0:05:14.22,0:05:18.07,Jingnu: Oh, what about the stars in the sky?,
0:05:20.00,0:05:21.10,Qi Yan: No.,#A9A0FF
