开始时间,结束时间,字幕内容,字幕颜色
0:00:01.67,0:00:05.27,[Princess estate],
0:00:07.50,0:00:08.42,Nangong Jingnu: Qi Yan—,#FF7D40
0:00:09.52,0:00:10.45,Qi Yan: Your Highness.,#A9A0FF
0:00:10.95,0:00:11.75,Nangong Jingnu: Qi Yan,,#FF7D40
0:00:11.75,0:00:14.95,I— I’m ready now,,#FF7D40
0:00:14.95,0:00:16.35,let’s leave the estate.,#FF7D40
0:00:17.27,0:00:18.67,Qi Yan: What for, Your Highness?,#A9A0FF
0:00:21.20,0:00:22.00,Nangong Jingnu: Mm…,#FF7D40
0:00:23.35,0:00:24.72,It’s Zhongyuan today,,#FF7D40
0:00:25.27,0:00:28.60,and you know Emperor Father feels about such things.,#FF7D40
0:00:28.95,0:00:30.90,Worshipping is not allowed within the palace.,#FF7D40
0:00:31.72,0:00:33.42,Since we’re married,,#FF7D40
0:00:33.72,0:00:36.32,it is only right for me to give offerings to your parents with you.,#FF7D40
0:00:36.80,0:00:39.12,It’d be unreasonable to let you go alone…,#FF7D40
0:00:41.60,0:00:42.55,Qi Yan: Your Highness…,#A9A0FF
0:00:43.00,0:00:44.05,Nangong Jingnu: Are we going or not?,#FF7D40
0:00:46.05,0:00:48.37,Qi Yan: This subject appreciates the thought, Your Highness,,#A9A0FF
0:00:48.95,0:00:50.15,but this subject’s parents…,#A9A0FF
0:00:50.67,0:00:52.52,have no known resting place.,#A9A0FF
0:00:52.95,0:00:54.00,There is nowhere to provide those offerings.,#A9A0FF
0:00:56.52,0:00:59.22,Nangong Jingnu: You… are from the Jin province,,#FF7D40
0:00:59.75,0:01:02.65,so… We can head to somewhere secluded, facing the north,,#FF7D40
0:01:02.65,0:01:04.27,and light incense for them there.,#FF7D40
0:01:06.35,0:01:07.12,Qi Yan: …Alright.,#A9A0FF
0:01:12.55,0:01:15.65,[Somewhere in the wilderness],
0:01:16.45,0:01:18.32,Qi Yan: Dad, mom,,#A9A0FF
0:01:19.32,0:01:22.15,this son… has scored the title of Flower Seeker,,#A9A0FF
0:01:22.60,0:01:24.52,and was appointed as the Fuma of the Zhenzhen Princess.,#A9A0FF
0:01:25.35,0:01:26.92,Her Highness treats this son extremely well,,#A9A0FF
0:01:28.12,0:01:29.45,you can rest assured…,#A9A0FF
0:01:30.12,0:01:31.77,Nangong Jingnu: Dad, mom,,#FF7D40
0:01:32.10,0:01:32.90,this daughter-in-law…,#FF7D40
0:01:32.90,0:01:33.47,Qi Yan: Your Highness…,#A9A0FF
0:01:34.10,0:01:36.30,Such a self-address would not be appropriate…,#A9A0FF
0:01:36.80,0:01:38.77,Nangong Jingnu: Since we’re outside of the palace,,#FF7D40
0:01:38.77,0:01:40.90,we’re just a normal married couple.,#FF7D40
0:01:41.10,0:01:43.07,There’s nothing wrong with calling myself that.,#FF7D40
0:01:44.47,0:01:45.15,Qi Yan: …Right.,#A9A0FF
0:01:46.40,0:01:48.07,Nangong Jingnu: Dad, mom,,#FF7D40
0:01:48.27,0:01:49.22,rest assured,,#FF7D40
0:01:49.67,0:01:51.50,I will take good care of Qi Yan.,#FF7D40
0:01:54.05,0:01:56.22,Qi Yan: **…Dad, mom,**,#A9A0FF
0:01:57.15,0:01:58.87,**this is a Princess of the Wei kingdom…**,#A9A0FF
0:02:00.32,0:02:01.20,**Wait for me.**,#A9A0FF
0:02:02.15,0:02:03.77,**It won’t be long…**,#A9A0FF
0:02:03.77,0:02:05.02,**before my revenge is complete.**,#A9A0FF
0:02:07.45,0:02:09.47,**Dad, mom…**,#A9A0FF
0:02:10.37,0:02:12.02,**All I’m asking for now…**,#A9A0FF
0:02:12.02,0:02:13.75,**is to find Xiao-Die soon…**,#A9A0FF
0:02:14.95,0:02:16.87,**She is the only family I have left.**,#A9A0FF
0:02:24.90,0:02:25.77,Qi Yan: Your Highness.,#A9A0FF
0:02:27.95,0:02:28.82,Nangong Jingnu: Qi Yan,,#FF7D40
0:02:29.37,0:02:31.00,don’t be too sad.,#FF7D40
0:02:32.02,0:02:33.82,It’s fine even if your parents are no longer here,,#FF7D40
0:02:34.22,0:02:35.72,as long as you still have me,,#FF7D40
0:02:36.37,0:02:37.72,we’re a family.,#FF7D40
0:02:41.50,0:02:42.82,Qi Yan: Thank you, Your Highness.,#A9A0FF
0:02:45.65,0:02:47.40,Qi Yan: **…I, Qiyan Aguna,**,#A9A0FF
0:02:47.90,0:02:49.82,**will surely… destroy the Wei kingdom.**,#A9A0FF
0:02:51.47,0:02:55.50,**But before I do… I want…,#A9A0FF
0:02:56.22,0:02:59.02,**to experience what family is like, one more time.**,#A9A0FF
